Date,Open,High,Low,Close,Adj Close,Volume
2018-09-14,698.260010,704.109985,697.190002,697.190002,689.726440,224
2018-09-17,691.169983,691.169983,683.640015,686.000000,678.656189,539
2018-09-18,699.669983,700.780029,693.520020,700.780029,693.278015,147
2018-09-19,709.500000,709.989990,705.830017,709.989990,702.389404,140
2018-09-20,721.169983,731.489990,721.039978,731.489990,723.659241,849
2018-09-21,726.250000,726.830017,722.520020,722.520020,714.785278,195
2018-09-24,731.489990,731.489990,711.000000,718.000000,710.313660,154
2018-09-25,726.900024,726.900024,720.280029,724.000000,716.249390,269
2018-09-26,724.020020,740.000000,724.020020,731.010010,723.184387,289
2018-09-27,736.099976,744.969971,730.419983,739.900024,739.900024,570
2018-09-28,735.390015,735.390015,729.989990,732.539978,732.539978,423
2018-10-01,735.450012,739.929993,732.020020,739.929993,739.929993,190
2018-10-02,728.359985,728.359985,706.440002,716.099976,716.099976,732
2018-10-04,700.070007,703.989990,696.130005,696.919983,696.919983,687
2018-10-05,696.000000,698.700012,688.840027,690.000000,690.000000,701
2018-10-08,693.989990,693.989990,685.719971,685.960022,685.960022,445
2018-10-09,686.070007,691.000000,684.219971,691.000000,691.000000,186
2018-10-10,691.880005,696.739990,667.760010,675.000000,675.000000,401
2018-10-11,651.000000,666.679993,644.000000,665.400024,665.400024,1325
2018-10-12,679.119995,686.809998,677.479980,684.390015,684.390015,307
2018-10-15,672.489990,675.260010,664.000000,675.260010,675.260010,525
2018-10-16,677.210022,683.659973,673.640015,683.659973,683.659973,233
2018-10-17,684.679993,689.109985,681.770020,681.770020,681.770020,199
2018-10-18,684.609985,687.989990,678.000000,678.000000,678.000000,141
2018-10-19,684.369995,687.460022,682.010010,684.219971,684.219971,114
2018-10-22,683.710022,683.710022,676.000000,679.950012,679.950012,134
2018-10-23,667.520020,668.989990,658.010010,668.989990,668.989990,415
2018-10-24,665.570007,669.380005,646.179993,657.309998,657.309998,498
2018-10-25,633.130005,650.159973,632.989990,642.169983,642.169983,559
2018-10-26,650.869995,650.869995,638.320007,642.010010,642.010010,1498
2018-10-29,651.390015,651.599976,649.140015,651.599976,651.599976,770
2018-10-30,667.219971,678.979980,666.909973,678.979980,678.979980,369
2018-10-31,686.000000,698.000000,681.450012,689.500000,689.500000,155
2018-11-01,687.049988,692.500000,687.049988,687.609985,687.609985,490
2018-11-02,706.909973,721.320007,705.710022,709.320007,709.320007,480
2018-11-05,714.219971,714.219971,702.000000,705.000000,705.000000,684
2018-11-06,699.739990,700.659973,696.219971,700.659973,700.659973,122
2018-11-07,706.049988,725.070007,706.049988,719.989990,719.989990,269
2018-11-08,722.960022,722.960022,713.000000,713.000000,713.000000,326
2018-11-09,721.989990,721.989990,709.729980,709.729980,709.729980,39
2018-11-12,728.000000,732.359985,704.789978,714.330017,714.330017,390
2018-11-13,722.000000,729.010010,722.000000,727.500000,727.500000,416
2018-11-14,719.979980,720.070007,704.760010,715.250000,715.250000,265
2018-11-15,719.770020,724.000000,715.000000,724.000000,724.000000,216
2018-11-16,714.760010,718.989990,703.000000,706.000000,706.000000,177
2018-11-19,700.210022,702.330017,676.390015,676.390015,676.390015,508
